text,label,subcategory
Seeking volunteers to read to children at the library every Thursday at 4pm Thanks!,HAM,help_request
Just a reminder: missing elderly man last seen near the shopping center. Please call 000 if seen.,HAM,safety_and_alerts
Gas leak reported near the corner of Main and 5th. Avoid the area for now Cheers!,HAM,safety_and_alerts
"Hi everyone, road closed on Bridge Street due to flooding. Use alternate route via Oak Ave.",HAM,safety_and_alerts
Extra groceries this week — happy to share with a family who needs it Hope this helps.,HAM,resource_sharing
"If you or someone you know is in crisis, please call Lifeline on 13 11 14 Thanks!",HAM,mental_health_support
2-BEDROOM FLAT AVAILABLE $350/MONTH. BILLS INCLUDED. NO REFERENCES NEEDED!,SPAM,fake_housing_offer
"REMOTE COMMUNITY JOB: SEND MESSAGES, EARN $600/WEEK. HIRING 100 PEOPLE TODAY!",SPAM,fake_job_posting
URGENT: HIRING NOW: Earn $500/day from home. No experience needed. Apply immediately!,SPAM,fake_job_posting
URGENT: Pyramid-free income opportunity — just share products with your neighbors!,SPAM,multi_level_marketing
Support struggling families this winter. Send $20 via PayPal: scammer@fake.com!!!,SPAM,fake_charity_scam
"Hello neighbors, giving away children's books — great condition. Perfect for young readers.",HAM,resource_sharing
🚨💰🎁 Local government portal: Your identity must be re-verified within 24 hours.,SPAM,phishing_community_style
FYI — so proud of our community — we planted 200 trees at the reserve last weekend!,HAM,good_news_and_gratitude
⚠️💥✅ Local hospital giving patients unnecessary treatments for profit. Avoid them!,SPAM,misinformation_health
ACT NOW: Rent assistance $1500 available for residents. No application needed. Call us!,SPAM,fake_assistance_program
Our food drive collected over 800 items this month. Thank you all so much! Thanks!,HAM,good_news_and_gratitude
Back-to-school supply giveaway at the community center this Saturday morning Hope this helps.,HAM,community_event
⚠️💥✅ Free medical supplies for your household. Government funded. Claim instantly!,SPAM,fake_assistance_program
"Hello neighbors, is there anyone who can help fix a wheelchair ramp at 42 Maple Street?",HAM,help_request
"⚠️💥✅ Get a $10,000 loan in 24 hours. We say YES when banks say no. Apply today!",SPAM,predatory_lending
💸🆓🔥 Microchips being injected via flu shots in your area. Refuse vaccination now!,SPAM,misinformation_health
FYI — giving away a working microwave and toaster. Free to collect today.,HAM,resource_sharing
LIMITED TIME: I'm reporting you to everyone in the neighborhood. Watch your back.,SPAM,harassment_and_threats
"You are not alone. If you're struggling, please reach out to someone you trust Thanks!",HAM,mental_health_support
DON'T MISS THIS: URGENT HIRING: Community helpers needed. Earn $1000/week. No interview!,SPAM,fake_job_posting
Community consultation on the housing development proposal closes Friday.,HAM,local_information
ACT NOW: Emergency community fund for flood victims. Send money via Venmo today!,SPAM,fake_charity_scam
STRUGGLING TO PAY BILLS? WE LEND TO ANYONE. GET $3000 CASH TODAY. APPLY NOW!,SPAM,predatory_lending
Security notice: Someone else accessed your community profile. Verify now!!!,SPAM,phishing_community_style
The community center will be closed next Monday for the public holiday Thanks!,HAM,local_information
"Hello neighbors, smoke smell in the area — controlled burn at the reserve. No risk to residents.",HAM,safety_and_alerts
This is a private community. Outsiders like you need to leave immediately!!!,SPAM,harassment_and_threats
DON'T MISS THIS: FREE food vouchers available for community members. Claim yours before Friday!,SPAM,fake_assistance_program
Reminder to check on elderly neighbors during this week's heat wave Thanks!,HAM,safety_and_alerts
Does anyone have a spare tent or sleeping bag for a homeless family nearby? Cheers!,HAM,help_request
"Hello neighbors, does anyone know how to apply for the emergency rental assistance program?",HAM,help_request
Power outage affecting Maple and Cedar Streets. Council is aware and working on it.,HAM,safety_and_alerts
⚠️💥✅ Your neighborhood watch account expires today. Renew your details immediately.,SPAM,phishing_community_style
Extra groceries this week — happy to share with a family who needs it Cheers!,HAM,resource_sharing
"Hello neighbors, council roadworks starting Monday on High Street. Expect delays 7am to 5pm.",HAM,safety_and_alerts
"Hi everyone, reminder: taking care of your mental health is just as important as physical health.",HAM,mental_health_support
LIMITED TIME: Community income opportunity: Sell our supplements and earn 40% commission!,SPAM,multi_level_marketing
EVERYONE IN THIS GROUP WILL KNOW WHAT YOU DID. I'M EXPOSING YOU TODAY.,SPAM,harassment_and_threats
Congratulations to our local team on winning the regional soccer championship! Stay safe everyone.,HAM,good_news_and_gratitude
Just a reminder: please slow down near Park Lane — children playing. Several near-misses this week.,HAM,safety_and_alerts
URGENT: One more post from you and I will organize people against you personally.,SPAM,harassment_and_threats
FYI — storm warning tonight. Secure outdoor furniture and check on vulnerable neighbors.,HAM,safety_and_alerts
ACT NOW: URGENT: Children in your area are starving. Donate $10 to feed a child today!,SPAM,fake_charity_scam
URGENT: WARNING: WiFi signals proven to cause cancer. Turn off your router at night!,SPAM,misinformation_health
A big thank you to everyone who donated blood at the community drive yesterday Thanks!,HAM,good_news_and_gratitude
POSTING THIS AGAIN WILL HAVE CONSEQUENCES. CONSIDER THIS YOUR FINAL WARNING.,SPAM,harassment_and_threats
Just a reminder: storm warning tonight. Secure outdoor furniture and check on vulnerable neighbors.,HAM,safety_and_alerts
FYI — local school wins environmental award — amazing effort from students and staff!,HAM,good_news_and_gratitude
Just a reminder: community alert: aggressive wasp nest near the public toilet block at the park.,HAM,safety_and_alerts
SUPPORT STRUGGLING FAMILIES THIS WINTER. SEND $20 VIA PAYPAL: SCAMMER@FAKE.COM,SPAM,fake_charity_scam
ACT NOW: ALERT: New vaccine being tested on community members without consent. Share!,SPAM,misinformation_health
"Hello neighbors, can anyone recommend a good after-school program for a 9-year-old?",HAM,help_request
URGENT: Cheap rentals available: $300/month all inclusive. Contact us immediately!,SPAM,fake_housing_offer
Shoutout to the volunteers who shoveled snow for elderly residents this week Hope this helps.,HAM,good_news_and_gratitude
🚨💰🎁 FREE parenting workshop this Sunday. $40 certificate fee applies. Register now!,SPAM,fake_event_or_meetup
💸🆓🔥 Join the fastest growing community business. Recruit 3 people and retire!,SPAM,multi_level_marketing
"Hello neighbors, meals on Wheels is looking for new delivery volunteers. Two hours per week.",HAM,local_information
"Community health alert: New virus spreading fast. Symptoms: fatigue, headache!!!",SPAM,misinformation_health
💸🆓🔥 Support struggling families this winter. Send $20 via PayPal: scammer@fake.com,SPAM,fake_charity_scam
We need help moving donated furniture to the community shelter this Saturday.,HAM,help_request
IMMEDIATE OPENING: COMMUNITY ENGAGEMENT ROLE. $85/HR. NO RESUME NEEDED!,SPAM,fake_job_posting
Is there anyone who can help fix a wheelchair ramp at 42 Maple Street?,HAM,help_request
Does anyone know where to access free mental health support in this area?,HAM,help_request
YOUR KIND IS NOT WELCOME HERE. GET OUT OF OUR COMMUNITY NOW.,SPAM,harassment_and_threats
"Hi everyone, multicultural food fair this Sunday. Celebrating our diverse neighborhood!",HAM,community_event
Council approved $1500 utility bill relief for your area. Apply immediately!,SPAM,fake_assistance_program
Bushfire preparedness information session this Tuesday evening at 6:30pm Stay safe everyone.,HAM,local_information
Peer support volunteers available for a chat. No referral needed. All welcome Cheers!,HAM,mental_health_support
⚠️💥✅ Your address has been shared with the wrong people. Leave this group now.,SPAM,harassment_and_threats
The community noticeboard outside the post office has been updated for October Hope this helps.,HAM,local_information
Our community garden produced its first harvest — shared with 12 families! Cheers!,HAM,good_news_and_gratitude
FYI — phone scam targeting elderly residents in our area. Please warn your family.,HAM,safety_and_alerts
💸🆓🔥 Community loan shark — borrow cash fast. Flexible repayment. No paperwork!,SPAM,predatory_lending
Part-time community volunteer pays $800/week. Immediate start. No experience!,SPAM,fake_job_posting
URGENT: Emergency community fund for flood victims. Send money via Venmo today!,SPAM,fake_charity_scam
"Hello neighbors, support group for grief and loss meets every Monday evening at 6:30pm.",HAM,mental_health_support
"Book swap happening at the library on Saturday. Bring one, take one — free! Thanks!",HAM,community_event
A resident found and returned a lost wallet with all cash intact. Restored faith! Thanks!,HAM,good_news_and_gratitude
"Hi everyone, parenting stress support group — free, non-judgmental. Meets fortnightly.",HAM,mental_health_support
Is there anyone who can help fix a wheelchair ramp at 42 Maple Street? Cheers!,HAM,help_request
Our community garden produced its first harvest — shared with 12 families! Stay safe everyone.,HAM,good_news_and_gratitude
Your tap water contains fluoride — a mind-control chemical. Use our filter!!!,SPAM,misinformation_health
Just a reminder: i can offer free home-cooked meals to an elderly or struggling neighbor.,HAM,resource_sharing
"Have extra garden seeds — tomatoes, lettuce, herbs. Free to a good home Thanks!",HAM,resource_sharing
"Hello neighbors, craft and social morning every Tuesday at the community center. Free entry.",HAM,community_event
"URGENT: Be a community health ambassador. Sell products, build a team, get rich!",SPAM,multi_level_marketing
Work from home — stuff envelopes and earn $400 weekly. Unlimited positions!,SPAM,fake_job_posting
"Hello neighbors, youth mentoring program launch event next Friday at 6pm. All parents welcome.",HAM,community_event
FYI — free mindfulness and meditation sessions at the library every Wednesday at noon.,HAM,mental_health_support
"LIMITED TIME: Payday loan — borrow $1000 today, repay $1100 next week. Instant approval!",SPAM,predatory_lending
Just a reminder: community consultation on the housing development proposal closes Friday.,HAM,local_information
URGENT: GOVERNMENT ADDING CHEMICALS TO FOOD SUPPLY. EAT ONLY ORGANIC. SHARE!,SPAM,misinformation_health
COMMUNITY PLATFORM SECURITY ALERT: SUSPICIOUS LOGIN. RESET YOUR PASSWORD HERE.,SPAM,phishing_community_style
URGENT: Animal shelter overcrowded — donate $20 to save a pet from being put down!,SPAM,fake_charity_scam
ACT NOW: Local entrepreneur night — free to attend. $100 business starter pack inside!,SPAM,fake_event_or_meetup
FYI — reminder: it's okay to ask for help. Our community support line is open 24/7.,HAM,mental_health_support
Back-to-school supply giveaway at the community center this Saturday morning.,HAM,community_event
⚠️💥✅ Struggling to pay bills? We lend to anyone. Get $3000 cash today. Apply now!,SPAM,predatory_lending
🚨💰🎁 New affordable housing scheme — get a home with $0 deposit. Limited slots!,SPAM,fake_housing_offer
🚨💰🎁 Work from home — stuff envelopes and earn $400 weekly. Unlimited positions!,SPAM,fake_job_posting
Reminder: the door is always open at the community center. Drop in anytime Thanks!,HAM,mental_health_support
🚨💰🎁 Micro loan service — borrow $200-$5000 instantly. No questions asked!,SPAM,predatory_lending
FYI — can anyone help a single mother find affordable childcare in this area?,HAM,help_request
Phone scam targeting elderly residents in our area. Please warn your family.,HAM,safety_and_alerts
"Hello neighbors, community wellness walk every Sunday at 7am. Great for mental and physical health.",HAM,mental_health_support
WORK FROM HOME — STUFF ENVELOPES AND EARN $400 WEEKLY. UNLIMITED POSITIONS!,SPAM,fake_job_posting
DON'T MISS THIS: 5G towers causing illness in your neighborhood. Protect your family now!,SPAM,misinformation_health
DON'T MISS THIS: FREE temporary shelter for families in need. Limited beds. Call now!,SPAM,fake_housing_offer
HIRING NOW: Earn $500/day from home. No experience needed. Apply immediately!,SPAM,fake_job_posting
"Hello neighbors, new accessible parking bays have been installed outside the health center.",HAM,local_information
URGENT: Government adding chemicals to food supply. Eat only organic. Share!,SPAM,misinformation_health
The new community garden plots will be available to register from next Monday Stay safe everyone.,HAM,local_information
A resident found and returned a lost wallet with all cash intact. Restored faith! Hope this helps.,HAM,good_news_and_gratitude
ACT NOW: New social housing units available. Skip the waitlist. Apply here today!,SPAM,fake_housing_offer
UNCLAIMED GOVERNMENT BENEFIT OF $3000 IN YOUR NAME. VERIFY TO RECEIVE TODAY!,SPAM,fake_assistance_program
YOUR NEIGHBORHOOD GROUP MEMBERSHIP WILL EXPIRE. RENEW YOUR CREDENTIALS NOW!,SPAM,phishing_community_style
Cheap rentals available: $300/month all inclusive. Contact us immediately!!!,SPAM,fake_housing_offer
💸🆓🔥 $500 community support payment — confirm your address to receive it this week!,SPAM,fake_assistance_program
Rent-free housing for 6 months for eligible community members. Apply fast!,SPAM,fake_housing_offer
Just a reminder: the new playground equipment is officially open. Come and check it out!,HAM,good_news_and_gratitude
Reminder to check on elderly neighbors during this week's heat wave Hope this helps.,HAM,safety_and_alerts
Support group for grief and loss meets every Monday evening at 6:30pm Stay safe everyone.,HAM,mental_health_support
FYI — community resilience program — free six-week course starts next month. Register.,HAM,mental_health_support
BE YOUR OWN BOSS! JOIN OUR COMMUNITY SALES TEAM AND EARN UNLIMITED INCOME!,SPAM,multi_level_marketing
"Hello neighbors, social isolation is real. Let's check in on our neighbors more regularly.",HAM,mental_health_support
FYI — missing elderly man last seen near the shopping center. Please call 000 if seen.,HAM,safety_and_alerts
💸🆓🔥 Debt consolidation loan approved — wipe your debts for just $300 upfront fee!,SPAM,predatory_lending
DON'T MISS THIS: 2-bedroom flat available $350/month. Bills included. No references needed!,SPAM,fake_housing_offer
FYI — we are looking for a translator who speaks Somali for a community meeting.,HAM,help_request
Free firewood available for anyone who needs heating this winter. Come collect Thanks!,HAM,resource_sharing
🚨💰🎁 Government health agency lying about disease rates. Real numbers are 10x worse!,SPAM,misinformation_health
Community park cleanup this Saturday 9am. Gloves and bags provided. All welcome! Stay safe everyone.,HAM,community_event
🚨💰🎁 Emergency rental assistance: Get $2000 toward your rent. Apply immediately!,SPAM,fake_housing_offer
Just a reminder: community art exhibition opens Sunday. Work by local artists of all ages.,HAM,community_event
URGENT: IMPORTANT: Community welfare payment pending. Confirm your account details.,SPAM,phishing_community_style
Pyramid-free income opportunity — just share products with your neighbors!!!,SPAM,multi_level_marketing
"QUICK COMMUNITY LOAN — 100% ACCEPTANCE RATE. $500 TO $20,000. APPLY ONLINE!",SPAM,predatory_lending
"Hello neighbors, monthly neighborhood watch meeting this Thursday at 7pm at the community hall.",HAM,community_event
DON'T MISS THIS: Community credit union — guaranteed approval on all loans. No collateral!,SPAM,predatory_lending
"Have extra garden seeds — tomatoes, lettuce, herbs. Free to a good home Stay safe everyone.",HAM,resource_sharing
NETWORKING EVENT: MEET INVESTORS IN YOUR AREA. FREE ENTRY WITH $40 DEPOSIT!,SPAM,fake_event_or_meetup
Donating a working laptop to a student who needs one for school. Message me Stay safe everyone.,HAM,resource_sharing
Just a reminder: heads up: there have been reports of break-ins on Elm Street. Lock your cars.,HAM,safety_and_alerts
🚨💰🎁 Rent assistance $1500 available for residents. No application needed. Call us!,SPAM,fake_assistance_program
ACT NOW: Unclaimed government benefit of $3000 in your name. Verify to receive today!,SPAM,fake_assistance_program
"Hello neighbors, we need volunteers to deliver meals to isolated seniors next Wednesday.",HAM,help_request
URGENT: Free medical supplies for your household. Government funded. Claim instantly!,SPAM,fake_assistance_program
Rent assistance $1500 available for residents. No application needed. Call us!!!,SPAM,fake_assistance_program
Community wellness walk every Sunday at 7am. Great for mental and physical health Cheers!,HAM,mental_health_support
💸🆓🔥 Council approved $1500 utility bill relief for your area. Apply immediately!,SPAM,fake_assistance_program
DON'T MISS THIS: Donate to help flood victims in our community. 100% goes to families in need!,SPAM,fake_charity_scam
URGENT: Everyone in this group will know what you did. I'm exposing you today.,SPAM,harassment_and_threats
⚠️💥✅ ALERT: New vaccine being tested on community members without consent. Share!,SPAM,misinformation_health
🚨💰🎁 WARNING: WiFi signals proven to cause cancer. Turn off your router at night!,SPAM,misinformation_health
URGENT: Community disaster relief fund — donate to help rebuild after the fire!,SPAM,fake_charity_scam
DON'T MISS THIS: Government health agency lying about disease rates. Real numbers are 10x worse!,SPAM,misinformation_health
Seeking volunteers to help run the community garden every Sunday morning Hope this helps.,HAM,help_request
"⚠️💥✅ Home-based community business — no boss, no hours, no ceiling on earnings!",SPAM,multi_level_marketing
FYI — have spare bedding and towels in good condition — free to anyone in need.,HAM,resource_sharing
FYI — community park cleanup this Saturday 9am. Gloves and bags provided. All welcome!,HAM,community_event
DON'T MISS THIS: Emergency community fund for flood victims. Send money via Venmo today!,SPAM,fake_charity_scam
DON'T MISS THIS: Your community app account has been flagged. Verify your identity here urgently.,SPAM,phishing_community_style
LIMITED TIME: Affordable housing available NOW. 2BR apartment $400/month. No credit check!,SPAM,fake_housing_offer
FYI — looking for a community member who can give free legal advice to residents.,HAM,help_request
We need volunteers to deliver meals to isolated seniors next Wednesday Hope this helps.,HAM,help_request
FREE FINANCIAL FREEDOM WORKSHOP IN YOUR AREA. JUST PAY $35 FOR YOUR WORKBOOK!,SPAM,fake_event_or_meetup
The local pool reopens for summer on November 1st. Check the council website Cheers!,HAM,local_information
ACT NOW: URGENT HIRING: Community helpers needed. Earn $1000/week. No interview!,SPAM,fake_job_posting
💸🆓🔥 Rent-free housing for 6 months for eligible community members. Apply fast!,SPAM,fake_housing_offer
"Have extra garden seeds — tomatoes, lettuce, herbs. Free to a good home.",HAM,resource_sharing
We need people to help sort donations at the food bank next Tuesday morning Hope this helps.,HAM,help_request
Free tutoring offered to high school students struggling with math or science Cheers!,HAM,resource_sharing
💸🆓🔥 Be your own boss! Join our community sales team and earn unlimited income!,SPAM,multi_level_marketing
Just a reminder: thanks to the local bakery for donating bread to the food bank every Friday.,HAM,good_news_and_gratitude
"Hello neighbors, the footpath on River Road is now repaired. Thanks for your patience.",HAM,local_information
NEW CHEMTRAIL SPRAYING OVER YOUR CITY LINKED TO RESPIRATORY ILLNESS. SHARE!,SPAM,misinformation_health
Reminder: the river path is closed due to erosion. Please use the main trail Thanks!,HAM,safety_and_alerts
Just a reminder: the tennis courts are being resurfaced — closed until the end of the month.,HAM,local_information
⚠️💥✅ Community app update: All users must re-enter their personal details today.,SPAM,phishing_community_style
💸🆓🔥 Need cash fast? Get $5000 loan in 10 minutes. No credit check. 100% approved!,SPAM,predatory_lending
MEET LIKE-MINDED PEOPLE IN YOUR AREA! FREE EVENT — $45 REGISTRATION REQUIRED.,SPAM,fake_event_or_meetup
Neighborhood safety forum with local police this Wednesday evening. Open to all Thanks!,HAM,community_event
🚨💰🎁 Animal shelter overcrowded — donate $20 to save a pet from being put down!,SPAM,fake_charity_scam
SAME DAY CASH: Borrow $1000-$5000 with no income verification. Apply now!,SPAM,predatory_lending
Environmental talk: local speaker on urban gardening. Free entry this Monday.,HAM,community_event
Just a reminder: new accessible parking bays have been installed outside the health center.,HAM,local_information
FYI — local history walk this Sunday at 10am. Meet outside the old town hall.,HAM,community_event
⚠️💥✅ Security notice: Someone else accessed your community profile. Verify now.,SPAM,phishing_community_style
"Hello neighbors, reminder: school zone 40km speed limit is enforced with cameras. Please slow down.",HAM,safety_and_alerts
ACT NOW: Community disaster relief fund — donate to help rebuild after the fire!,SPAM,fake_charity_scam
"Hello neighbors, community resilience program — free six-week course starts next month. Register.",HAM,mental_health_support
The community center will be closed next Monday for the public holiday Hope this helps.,HAM,local_information
Missing elderly man last seen near the shopping center. Please call 000 if seen Cheers!,HAM,safety_and_alerts
DON'T MISS THIS: Action required: Your community profile will be deleted unless you confirm now.,SPAM,phishing_community_style
Your neighborhood watch account expires today. Renew your details immediately.,SPAM,phishing_community_style
💸🆓🔥 Rent assistance $1500 available for residents. No application needed. Call us!,SPAM,fake_assistance_program
⚠️💥✅ NETWORKING EVENT: Meet investors in your area. Free entry with $40 deposit!,SPAM,fake_event_or_meetup
⚠️💥✅ Community grief fund for accident victims — donate cash or gift cards today!,SPAM,fake_charity_scam
URGENT: Doctors hiding cure for cancer — use this natural remedy instead. Share now!,SPAM,misinformation_health
ACT NOW: Free housing for seniors and families. Government approved. Limited time!,SPAM,fake_housing_offer
"Just a reminder: if you know someone struggling, sometimes just listening makes all the difference.",HAM,mental_health_support
Just a reminder: is there anyone who can help fix a wheelchair ramp at 42 Maple Street?,HAM,help_request
DON'T MISS THIS: You are eligible for free groceries from our community program. Register now!,SPAM,fake_assistance_program
"Hi everyone, fire hazard warning: total fire ban in place this weekend. No outdoor burning.",HAM,safety_and_alerts
Reminder that the annual rate notices will be posted out in early February Thanks!,HAM,local_information
Gas leak reported near the corner of Main and 5th. Avoid the area for now Thanks!,HAM,safety_and_alerts
"Hi everyone, free mindfulness and meditation sessions at the library every Wednesday at noon.",HAM,mental_health_support
Dog registration renewals are due by the end of this month. Avoid the fine Cheers!,HAM,local_information
Grateful for everyone who checked on neighbors during the recent storms Cheers!,HAM,good_news_and_gratitude
LIMITED TIME: SPECIAL PROGRAM: Free heating and electricity for seniors this winter. Apply!,SPAM,fake_assistance_program
🚨💰🎁 Community credit union — guaranteed approval on all loans. No collateral!,SPAM,predatory_lending
Thanks to the anonymous donor who paid for school lunches for 30 kids this week Hope this helps.,HAM,good_news_and_gratitude
Council roadworks starting Monday on High Street. Expect delays 7am to 5pm.,HAM,safety_and_alerts
We need help moving donated furniture to the community shelter this Saturday Stay safe everyone.,HAM,help_request
DONATE TO HELP FLOOD VICTIMS IN OUR COMMUNITY. 100% GOES TO FAMILIES IN NEED!,SPAM,fake_charity_scam
LIMITED TIME: I earn $5000/month helping people in my community. I can show you how too!,SPAM,multi_level_marketing
🚨💰🎁 Admin notice: Community forum account suspended. Click here to restore access.,SPAM,phishing_community_style
Can anyone recommend a trustworthy babysitter in the Riverside area? Stay safe everyone.,HAM,help_request
⚠️💥✅ I earn $5000/month helping people in my community. I can show you how too!,SPAM,multi_level_marketing
ACT NOW: Exclusive community giveaway event — win prizes. Register with $15 entry fee!,SPAM,fake_event_or_meetup
⚠️💥✅ COVID relief grant of $2000 still available in your area. Last chance to claim!,SPAM,fake_assistance_program
Reminder: it's okay to ask for help. Our community support line is open 24/7 Stay safe everyone.,HAM,mental_health_support
SAME DAY CASH: BORROW $1000-$5000 WITH NO INCOME VERIFICATION. APPLY NOW!,SPAM,predatory_lending
🚨💰🎁 HIRING NOW: Earn $500/day from home. No experience needed. Apply immediately!,SPAM,fake_job_posting
FYI — we need people to help sort donations at the food bank next Tuesday morning.,HAM,help_request
"Hello neighbors, free home garden herbs available — rosemary, mint, basil. Come and pick!",HAM,resource_sharing
URGENT: Join the fastest growing community business. Recruit 3 people and retire!,SPAM,multi_level_marketing
💸🆓🔥 Community wealth-building workshop — attend FREE. Bring $100 for materials!,SPAM,fake_event_or_meetup
Need $200 till payday? We'll lend it with no fees. Just pay back $280. Easy!,SPAM,predatory_lending
🚨💰🎁 Part-time community volunteer pays $800/week. Immediate start. No experience!,SPAM,fake_job_posting
ACT NOW: I know where you live. Stop posting in this community or you will regret it.,SPAM,harassment_and_threats
FYI — great news — the community center funding has been approved for another year!,HAM,good_news_and_gratitude
💸🆓🔥 FREE financial freedom workshop in your area. Just pay $35 for your workbook!,SPAM,fake_event_or_meetup
URGENT: Community credit union — guaranteed approval on all loans. No collateral!,SPAM,predatory_lending
Reminder: school zone 40km speed limit is enforced with cameras. Please slow down Cheers!,HAM,safety_and_alerts
Subsidized housing program — pay only $100/month. Only 5 spots remaining!!!,SPAM,fake_housing_offer
Just a reminder: free wifi password shared — neighbors welcome to use it while I'm home.,HAM,resource_sharing
WORK WITH ME FROM HOME — SELL HEALTH PRODUCTS TO YOUR NEIGHBORS. EASY INCOME!,SPAM,multi_level_marketing
"If you know someone struggling, sometimes just listening makes all the difference.",HAM,mental_health_support
"Hello neighbors, postnatal support group for new parents — every Friday at 10am. Babies welcome.",HAM,mental_health_support
Looking for someone who can teach basic computer skills to elderly residents Hope this helps.,HAM,help_request
🚨💰🎁 Work with me from home — sell health products to your neighbors. Easy income!,SPAM,multi_level_marketing
ACT NOW: HIRING NOW: Earn $500/day from home. No experience needed. Apply immediately!,SPAM,fake_job_posting
Council services alert: Update your records or lose access to local benefits!!!,SPAM,phishing_community_style
⚠️💥✅ Community disaster relief fund — donate to help rebuild after the fire!,SPAM,fake_charity_scam
Neighborhood safety forum with local police this Wednesday evening. Open to all Cheers!,HAM,community_event
URGENT: Micro loan service — borrow $200-$5000 instantly. No questions asked!,SPAM,predatory_lending
LIMITED TIME: Your address has been shared with the wrong people. Leave this group now.,SPAM,harassment_and_threats
⚠️💥✅ Work from home — stuff envelopes and earn $400 weekly. Unlimited positions!,SPAM,fake_job_posting
"Remote community job: Send messages, earn $600/week. Hiring 100 people today!",SPAM,fake_job_posting
FYI — free firewood available for anyone who needs heating this winter. Come collect.,HAM,resource_sharing
⚠️💥✅ Micro loan service — borrow $200-$5000 instantly. No questions asked!,SPAM,predatory_lending
FYI — free wifi password shared — neighbors welcome to use it while I'm home.,HAM,resource_sharing
Does anyone know how to apply for the emergency rental assistance program? Cheers!,HAM,help_request
Smoke smell in the area — controlled burn at the reserve. No risk to residents Stay safe everyone.,HAM,safety_and_alerts
💸🆓🔥 ALERT: New vaccine being tested on community members without consent. Share!,SPAM,misinformation_health
Wonderful to see so many new faces at the multicultural dinner last night Cheers!,HAM,good_news_and_gratitude
Local history walk this Sunday at 10am. Meet outside the old town hall.,HAM,community_event
Volunteer appreciation morning tea next Wednesday. Come and say thank you! Thanks!,HAM,community_event
Road resurfacing on King Street will begin Thursday and take about two weeks.,HAM,local_information
"Hello neighbors, hi everyone, does anyone know a reliable plumber in the north end of town?",HAM,help_request
Happy to share: the family in temporary housing has found a permanent home! Hope this helps.,HAM,good_news_and_gratitude
Community healing circle — attend FREE. $50 crystal healing kit required!!!,SPAM,fake_event_or_meetup
FYI — community alert: aggressive wasp nest near the public toilet block at the park.,HAM,safety_and_alerts
